ab,bb,hr,pos,rank,avg,id,name,k,r,games,rbi,team,sb,slg,obp
430,,19.0,"1B,OF",455,.251,8024,Garrett Jones,,52.0,,64.0,Mia,3.0,,
301,,15.0,OF,463,.246,7245,Jonny Gomes,,47.0,,49.0,Bos,3.0,,
376,,15.0,1B,465,.274,5908,Paul Konerko,,41.0,,52.0,CWS,0.0,,
458,,9.0,"2B,3B",466,.262,7832,Alberto Callaspo,,53.0,,54.0,Oak,3.0,,
429,,18.0,C,469,.224,7628,Russell Martin,,52.0,,56.0,Pit,8.0,,
357,,3.0,OF,479,.261,7937,Gregor Blanco,,49.0,,34.0,SF,18.0,,
427,,16.0,3B,480,.246,8733,Trevor Plouffe,,49.0,,50.0,Min,2.0,,
412,,6.0,OF,489,.272,9157,A.J. Pollock,,56.0,,38.0,Ari,13.0,,
386,,3.0,"2B,3B,OF",503,.259,8112,Emilio Bonifacio,,50.0,,25.0,ChC,31.0,,
374,,17.0,2B,512,.203,7692,Dan Uggla,,55.0,,50.0,Atl,3.0,,
522,,8.0,OF,515,.293,7595,Melky Cabrera,,70.0,,53.0,Tor,8.0,,
385,,13.0,OF,516,.268,7053,Cody Ross,,49.0,,55.0,Ari,3.0,,
438,,9.0,OF,525,.253,7232,David DeJesus,,61.0,,43.0,TB,6.0,,
293,,7.0,3B,545,.253,6698,Juan Uribe,,32.0,,35.0,LAD,3.0,,
438,,13.0,OF,546,.269,7862,David Murphy,,55.0,,51.0,Cle,6.0,,
435,,7.0,2B,555,.262,6899,Mark Ellis,,53.0,,41.0,StL,6.0,,
344,,2.0,OF,598,.279,9009,J.B. Shuck,,50.0,,31.0,LAA,10.0,,
225,,2.0,OF,599,.289,8574,Craig Gentry,,34.0,,22.0,Oak,19.0,,
317,,3.0,OF,610,.268,8817,Jarrod Dyson,,51.0,,18.0,KC,38.0,,
282,,11.0,OF,707,.216,7454,Ryan Raburn,,34.0,,40.0,Cle,1.0,,
391,,11.0,OF,730,.243,8144,Seth Smith,,54.0,,47.0,SD,2.0,,
402,,11.0,C,742,.254,8373,A.J. Ellis,,42.0,,52.0,LAD,0.0,,
379,,8.0,C,747,.277,7757,Carlos Ruiz,,41.0,,47.0,Phi,1.0,,
393,,2.0,"2B,3B",750,.277,8949,DJ LeMahieu,,44.0,,35.0,Col,14.0,,
437,,14.0,OF,757,.265,7467,Delmon Young,,42.0,,54.0,Bal,0.0,,
276,,9.0,"1B,OF",762,.239,8496,John Mayberry,,35.0,,32.0,Phi,3.0,,
