ab,bb,hr,pos,rank,avg,id,name,k,r,games,rbi,team,sb,slg,obp
572,50,17,1B,167,.259,825,Justin Morneau,110,62,,77,Col,0,.411,.323
344,23,3,OF,168,.279,1238,Melky Cabrera,47,39,,30,Tor,2,.360,.322
472,32,12,3B,169,.233,2820,Mike Moustakas,83,42,,42,KC,2,.364,.287
607,19,4,SS,170,.234,2042,Alcides Escobar,84,57,,52,KC,22,.300,.259
413,59,18,"OF, DH",171,.235,1933,Matt Joyce,87,61,,47,TB,7,.419,.328
334,32,6,1B,172,.281,2298,Yonder Alonso,47,34,,45,SD,6,.368,.341
438,58,15,C,173,.226,1268,Russell Martin,108,51,,55,Pit,9,.377,.327
634,55,10,OF,174,.271,1330,Nick Markakis,76,89,,59,Bal,1,.356,.329
406,54,12,OF,175,.236,2689,Michael Saunders,118,59,,46,Sea,13,.397,.323
549,44,13,1B,176,.299,1346,James Loney,77,54,,75,TB,3,.430,.348
369,42,12,2B,177,.225,3064,Nick Franklin,113,38,,45,Sea,6,.382,.303
477,34,14,3B,178,.254,2171,Trevor Plouffe,112,44,,52,Min,2,.392,.309
331,21,6,OF,179,.260,1438,Rajai Davis,67,49,,24,Det,45,.375,.312
306,24,8,SS,180,.265,4683,Brad Miller,52,41,,36,Sea,5,.418,.318
293,38,6,1B,181,.242,2924,Logan Morrison,56,32,,36,Sea,0,.375,.333
425,43,14,C,182,.273,1605,Jarrod Saltalamacchia,139,68,,65,Mia,4,.466,.338
488,45,2,2B,183,.297,787,Marco Scutaro,34,57,,31,SF,2,.369,.357
424,41,18,OF,184,.222,1837,Justin Ruggiano,114,49,,50,ChC,15,.396,.298
462,45,23,1B,185,.232,2812,Mitch Moreland,117,60,,60,Tex,0,.437,.299
543,30,21,3B,186,.241,2270,Matt Dominguez,96,56,,77,Hou,0,.403,.286
63,8,1,SS,187,.190,197,Derek Jeter,10,8,,7,NYY,0,.254,.288
525,76,34,"1B, DH",188,.219,687,Adam Dunn,189,60,,86,CWS,1,.442,.320
310,18,5,C,189,.268,1376,Carlos Ruiz,39,30,,37,Phi,1,.368,.320
--,--,--,OF,190,--,5447,Gregory Polanco,--,--,,--,Pit,--,--,--
312,21,13,OF,191,.215,1206,Michael Morse,87,34,,27,SF,0,.381,.270
285,22,7,2B,192,.235,4620,Josh Rutledge,62,45,,19,Col,12,.337,.294
482,61,12,OF,193,.272,1333,Andre Ethier,95,54,,52,LAD,4,.423,.360
443,33,8,OF,194,.269,3107,A.J. Pollock,82,64,,38,Ari,12,.409,.322
388,30,12,3B,195,.278,653,Juan Uribe,81,47,,50,LAD,5,.438,.331
508,57,9,SS,196,.256,1604,Yunel Escobar,73,61,,56,TB,4,.366,.332
240,23,13,C,197,.300,967,Dioner Navarro,36,31,,34,Tor,0,.492,.365
317,57,9,1B,198,.205,2920,Ike Davis,101,37,,33,NYM,4,.334,.326
371,28,5,2B,199,.267,2385,Gordon Beckham,56,46,,24,CWS,5,.372,.322
236,13,6,OF,200,.284,3132,Junior Lake,68,26,,16,ChC,4,.428,.332
610,42,4,OF,201,.279,1907,Denard Span,77,75,,47,Wsh,20,.380,.327
99,12,1,C,202,.202,2984,Travis d'Arnaud,21,4,,5,NYM,0,.263,.286
384,37,4,"2B, OF",203,.253,2697,Dustin Ackley,72,40,,31,Sea,2,.341,.319
330,44,11,C,204,.227,2383,Alex Avila,112,39,,47,Det,0,.376,.317
445,51,21,"1B, 3B, DH",205,.220,1704,Mark Reynolds,154,55,,67,Mil,3,.393,.306
601,48,10,OF,206,.268,2420,Gerardo Parra,100,79,,48,Ari,10,.403,.323
--,--,--,SS,207,--,530,Rafael Furcal,--,--,,--,Mia,--,--,--
351,23,14,OF,208,.251,3735,Oswaldo Arcia,117,34,,43,Min,1,.430,.304
162,15,5,3B,209,.235,5131,Cody Asche,43,18,,22,Phi,1,.389,.302
389,66,14,"OF, DH",210,.208,1038,Josh Willingham,128,42,,48,Min,1,.368,.342
403,31,15,"1B, OF",211,.233,1698,Garrett Jones,101,41,,51,Mia,2,.419,.289
163,20,9,C,212,.245,1295,Geovany Soto,60,20,,22,Tex,1,.466,.328
213,10,6,2B,213,.324,3644,Scooter Gennett,42,29,,21,Mil,2,.479,.356
548,52,7,OF,214,.276,2222,Jon Jay,103,75,,67,StL,10,.370,.351
207,38,3,C,215,.271,2071,John Jaso,45,31,,21,Oak,2,.372,.387
175,10,3,OF,216,.274,2128,Peter Bourjos,43,26,,12,StL,6,.377,.333
399,33,4,OF,217,.251,2536,Lorenzo Cain,90,54,,46,KC,14,.348,.310
499,42,9,SS,218,.248,2838,Brandon Crawford,96,52,,43,SF,1,.363,.311
335,36,12,OF,219,.200,1358,Chris Young,93,46,,40,NYM,10,.379,.280
390,45,10,C,220,.238,2074,A.J. Ellis,78,43,,52,LAD,0,.364,.318
276,31,13,OF,221,.275,1127,Carlos Quentin,55,42,,44,SD,0,.493,.363
333,22,8,"SS, 2B",222,.285,3093,Jordy Mercer,62,33,,27,Pit,3,.435,.336
448,77,22,2B,223,.179,1318,Dan Uggla,171,60,,55,Atl,2,.362,.309
485,48,14,"C, OF, DH",224,.247,1208,Ryan Doumit,99,49,,55,Atl,1,.396,.314
312,43,13,OF,225,.247,947,Jonny Gomes,89,49,,52,Bos,1,.426,.344
59,3,0,2B,226,.153,4535,Kolten Wong,12,6,,0,StL,3,.169,.194
348,32,18,"1B, 3B",227,.227,2207,Juan Francisco,138,36,,48,Mil,0,.422,.296
129,10,2,OF,228,.240,742,Ryan Ludwick,29,7,,12,Cin,0,.326,.293
350,15,3,"SS, 3B",229,.303,2711,Jose Iglesias,60,39,,29,Det,5,.386,.349
467,45,12,"1B, DH",230,.244,342,Paul Konerko,74,41,,54,CWS,0,.355,.313
246,19,10,2B,231,.224,3145,Ryan Flaherty,62,28,,27,Bal,2,.390,.293
76,6,4,C,232,.342,4325,Josmil Pinto,22,10,,12,Min,0,.566,.398
404,19,2,2B,233,.280,3188,DJ LeMahieu,67,39,,28,Col,18,.361,.311
441,24,14,OF,234,.265,2372,Dayan Viciedo,98,43,,56,CWS,0,.426,.304
543,30,3,SS,235,.227,3511,Adeiny Hechavarria,96,30,,42,Mia,11,.298,.267
275,13,3,OF,236,.265,4149,Marcell Ozuna,57,31,,32,Mia,5,.389,.303
304,20,3,SS,237,.260,2727,Eduardo Nunez,51,38,,28,NYY,10,.372,.307
436,37,13,OF,238,.220,1463,David Murphy,59,51,,45,Cle,1,.374,.282
--,--,--,1B,239,--,3678,Jon Singleton,--,--,,--,Hou,--,--,--
380,34,8,C,240,.274,2198,Welington Castillo,97,41,,32,ChC,2,.397,.349
289,16,11,3B,241,.225,2911,Lonnie Chisenhall,56,30,,36,Cle,1,.398,.270
531,53,12,OF,242,.258,1152,Nate McLouth,86,76,,36,Wsh,30,.399,.329
194,16,5,OF,243,.263,4165,Corey Dickerson,41,32,,17,Col,2,.459,.316
318,55,15,"OF, 1B",244,.223,3392,Lucas Duda,102,42,,33,NYM,0,.415,.352
--,--,--,1B,245,--,2060,Casey McGehee,--,--,,--,Mia,--,--,--
265,26,8,2B,246,.249,679,Brian Roberts,44,33,,39,NYY,3,.392,.312
95,10,3,OF,247,.189,4847,Jackie Bradley Jr.,31,18,,10,Bos,2,.337,.280
420,30,3,"2B, OF",248,.243,1798,Emilio Bonifacio,103,54,,31,ChC,28,.331,.295
76,10,3,3B,249,.237,3610,Matt Davidson,24,8,,12,CWS,0,.434,.333
264,37,9,C,250,.246,3000,Derek Norris,71,41,,30,Oak,5,.409,.345
361,15,9,"3B, SS",251,.252,1955,Mike Aviles,41,54,,46,Cle,8,.368,.282
350,40,10,2B,252,.209,926,Rickie Weeks,105,40,,24,Mil,7,.357,.306
430,44,10,OF,253,.233,2210,Drew Stubbs,141,59,,45,Col,17,.360,.305
94,10,1,SS,254,.234,3143,Dee Gordon,21,9,,6,LAD,10,.298,.314
228,19,9,3B,255,.281,408,Eric Chavez,45,28,,44,Ari,1,.478,.332
224,9,9,OF,256,.237,2895,Chris Heisey,51,29,,23,Cin,3,.415,.279
55,6,0,SS,257,.291,3310,Chris Owings,10,5,,5,Ari,2,.382,.361
216,22,9,"OF, 1B",258,.296,2218,Mike Carp,67,34,,43,Bos,1,.523,.362
454,42,29,"OF, DH",259,.242,260,Raul Ibanez,128,54,,65,LAA,0,.487,.306
208,15,0,SS,260,.202,2568,Ruben Tejada,24,20,,10,NYM,2,.260,.259
308,23,6,OF,261,.282,2181,Jose Tabata,45,35,,33,Pit,3,.429,.342
--,--,--,SS,262,--,5151,Addison Russell,--,--,,--,Oak,--,--,--
173,16,5,C,263,.214,5152,Mike Zunino,49,22,,14,Sea,1,.329,.290
365,27,5,"2B, 3B, SS",264,.236,1077,Maicer Izturis,38,33,,32,Tor,1,.310,.288
317,25,8,OF,265,.278,845,Cody Ross,50,33,,38,Ari,3,.413,.331
501,36,7,2B,266,.208,2200,Darwin Barney,64,49,,41,ChC,4,.303,.266
264,44,7,1B,267,.254,2087,Gaby Sanchez,51,29,,36,Pit,1,.402,.361
109,6,1,OF,268,.183,3666,Jake Marisnick,27,6,,5,Mia,3,.248,.231
357,37,7,SS,269,.252,3859,Didi Gregorius,65,47,,28,Ari,0,.373,.332
453,53,10,"3B, 2B",270,.258,1435,Alberto Callaspo,47,52,,58,Oak,0,.369,.333
88,18,1,C,271,.216,3389,Yasmani Grandal,18,13,,9,SD,0,.341,.352
458,51,12,OF,272,.303,3362,Daniel Nava,93,77,,66,Bos,0,.445,.385
368,27,2,2B,273,.266,2642,Eric Sogard,51,45,,35,Oak,10,.364,.322
